,co2,temp,humidity,pressure,gas_resistance,pm1_0,pm2_5,pm4_0,pm10_0,pnc_0_5,pnc_1_0,pnc_2_5,pnc_4_0,pnc_10_0,tps
[2026-05-14 05:29:42.701] ,458,24.34,31.05,99287.7,551278.62,2.17,2.94,3.48,3.76,13.71,16.61,17.25,17.35,17.36,0.66
[2026-05-14 05:29:47.710] ,457,24.4,30.98,99289.31,544680.88,2.21,2.99,3.53,3.81,13.9,16.85,17.5,17.6,17.61,0.67
[2026-05-14 05:29:52.726] ,458,24.38,30.91,99289.31,547300.94,2.48,3.36,3.97,4.29,15.62,18.93,19.67,19.78,19.79,0.67
[2026-05-14 05:29:57.741] ,459,24.36,30.89,99289.87,549503.62,2.42,3.29,3.88,4.2,15.27,18.51,19.23,19.34,19.35,0.67
[2026-05-14 05:30:02.756] ,458,24.37,30.88,99288.08,548620.44,2.42,3.28,3.88,4.19,15.23,18.46,19.18,19.29,19.3,0.67
[2026-05-14 05:30:07.773] ,457,24.37,30.84,99289.12,549946.31,2.33,3.16,3.73,4.03,14.65,17.76,18.45,18.56,18.57,0.67
[2026-05-14 05:30:12.790] ,459,24.39,30.83,99288.58,548179.88,2.35,3.19,3.77,4.07,14.77,17.91,18.61,18.72,18.73,0.66
[2026-05-14 05:30:17.799] ,459,24.44,30.86,99288.13,542948.06,2.48,3.36,3.98,4.3,15.61,18.93,19.67,19.78,19.8,0.66
[2026-05-14 05:30:22.815] ,459,24.49,30.88,99288.5,543380.19,2.95,4.01,4.74,5.12,18.56,22.51,23.4,23.53,23.55,0.66
[2026-05-14 05:30:27.824] ,459,24.51,30.85,99288.6,544680.88,2.87,3.9,4.61,4.98,18.06,21.91,22.77,22.89,22.91,0.66
[2026-05-14 05:30:32.844] ,460,24.47,30.84,99287.36,543813.06,2.64,3.58,4.24,4.58,16.65,20.19,20.97,21.09,21.11,0.66
[2026-05-14 05:30:37.857] ,459,24.48,30.9,99288.11,545987.75,2.42,3.27,3.87,4.18,15.24,18.46,19.18,19.28,19.3,0.66
[2026-05-14 05:30:42.876] ,458,24.54,30.95,99287.96,542948.06,2.17,2.94,3.48,3.76,13.69,16.59,17.24,17.33,17.35,0.66
[2026-05-14 05:30:47.889] ,458,24.51,30.97,99287.61,545987.75,2.03,2.75,3.25,3.51,12.79,15.49,16.1,16.18,16.2,0.66
[2026-05-14 05:30:52.904] ,456,24.39,30.94,99289.14,547740.06,1.92,2.6,3.07,3.31,12.08,14.64,15.21,15.29,15.3,0.66
[2026-05-14 05:30:57.916] ,456,24.3,30.92,99288.48,549946.31,1.77,2.4,2.83,3.06,11.15,13.52,14.04,14.12,14.13,0.66
[2026-05-14 05:31:02.926] ,455,24.27,30.91,99287.6,549061.69,1.64,2.22,2.62,2.83,10.35,12.53,13.02,13.09,13.1,0.65
[2026-05-14 05:31:07.941] ,455,24.31,30.94,99288.88,547740.06,1.69,2.28,2.69,2.91,10.67,12.92,13.41,13.48,13.5,0.66
[2026-05-14 05:31:12.960] ,456,24.18,30.95,99287.98,549503.62,2.5,3.38,3.98,4.3,15.81,19.14,19.87,19.98,20,0.66
[2026-05-14 05:31:17.973] ,457,24.19,31.04,99287.96,550389.69,2.86,3.85,4.54,4.89,18.07,21.86,22.69,22.81,22.83,0.65
[2026-05-14 05:31:22.991] ,457,24.06,31.1,99287.9,554863.19,2.83,3.81,4.48,4.84,17.9,21.64,22.46,22.58,22.6,0.65
[2026-05-14 05:31:28.006] ,459,24.07,31.2,99289.38,553513.5,2.55,3.43,4.03,4.35,16.13,19.49,20.23,20.34,20.35,0.65
[2026-05-14 05:31:33.019] ,460,24.09,31.32,99290.29,551724.12,2.37,3.2,3.77,4.07,14.99,18.14,18.83,18.93,18.95,0.66
[2026-05-14 05:31:38.031] ,459,24.08,31.4,99289.96,551724.12,2.19,2.96,3.5,3.77,13.85,16.77,17.41,17.51,17.52,0.66
[2026-05-14 05:31:43.048] ,459,24.15,31.47,99288.64,551724.12,2.07,2.8,3.3,3.56,13.03,15.78,16.39,16.48,16.5,0.65
[2026-05-14 05:31:48.061] ,460,24.11,31.45,99288.09,549503.62,2.11,2.86,3.38,3.65,13.29,16.11,16.74,16.83,16.84,0.66
[2026-05-14 05:31:53.070] ,462,24.17,31.54,99288.77,540797.44,2.79,3.79,4.48,4.84,17.56,21.29,22.13,22.25,22.27,0.66
[2026-05-14 05:31:58.088] ,463,24.24,31.63,99288.94,539089.25,2.78,3.78,4.47,4.83,17.53,21.25,22.09,22.21,22.23,0.66
[2026-05-14 05:32:03.108] ,463,24.31,31.62,99290.91,538239.19,2.7,3.68,4.35,4.71,16.99,20.62,21.44,21.56,21.57,0.67
[2026-05-14 05:32:08.115] ,462,24.43,31.56,99289.73,539089.25,2.48,3.38,4.01,4.33,15.61,18.95,19.7,19.81,19.83,0.67
[2026-05-14 05:32:13.131] ,463,24.51,31.47,99291.63,540369.38,2.3,3.13,3.7,4,14.45,17.54,18.23,18.34,18.35,0.66
[2026-05-14 05:32:18.141] ,462,24.51,31.3,99289.77,543380.19,2.55,3.48,4.12,4.45,16.05,19.48,20.26,20.37,20.39,0.66
[2026-05-14 05:32:23.163] ,461,24.51,31.2,99288.96,542516.56,2.67,3.63,4.29,4.64,16.79,20.37,21.17,21.29,21.3,0.66
[2026-05-14 05:32:28.169] ,461,24.53,31.16,99290.74,536969.06,2.59,3.51,4.15,4.48,16.35,19.82,20.59,20.7,20.72,0.65
[2026-05-14 05:32:33.193] ,461,24.56,31.08,99291.13,541226.19,2.55,3.44,4.05,4.37,16.09,19.48,20.22,20.33,20.35,0.65
[2026-05-14 05:32:38.206] ,462,24.64,31.03,99292.03,540369.38,2.46,3.31,3.89,4.19,15.54,18.79,19.5,19.6,19.62,0.64
[2026-05-14 05:32:43.217] ,459,24.71,30.97,99293.47,536547,2.36,3.16,3.71,3.99,14.98,18.08,18.75,18.84,18.86,0.64
[2026-05-14 05:32:48.229] ,457,24.7,30.87,99292.63,543380.19,2.2,2.93,3.43,3.69,14,16.87,17.48,17.57,17.58,0.64
[2026-05-14 05:32:53.248] ,458,24.69,30.84,99290.99,543380.19,2.16,2.87,3.35,3.61,13.77,16.58,17.17,17.25,17.27,0.63
[2026-05-14 05:32:58.261] ,457,24.71,30.82,99291.74,541226.19,2.15,2.85,3.33,3.57,13.74,16.52,17.1,17.19,17.2,0.63
[2026-05-14 05:33:03.274] ,458,24.77,30.81,99292.42,538239.19,2.14,2.82,3.29,3.53,13.63,16.39,16.96,17.04,17.05,0.64
[2026-05-14 05:33:08.295] ,460,24.8,30.78,99292.62,536547,2.14,2.82,3.29,3.53,13.63,16.39,16.96,17.04,17.05,0.64
[2026-05-14 05:33:13.300] ,459,24.85,30.74,99292.51,535704.94,2.09,2.76,3.22,3.45,13.3,16,16.56,16.64,16.65,0.64
[2026-05-14 05:33:18.315] ,460,24.93,30.7,99293.2,538239.19,2.04,2.7,3.15,3.38,13,15.63,16.18,16.26,16.28,0.64
[2026-05-14 05:33:23.337] ,458,25.04,30.63,99291.29,532362.88,1.94,2.58,3.01,3.23,12.38,14.9,15.42,15.5,15.51,0.64
[2026-05-14 05:33:28.347] ,460,25.1,30.55,99292,530707.44,1.92,2.55,2.98,3.2,12.23,14.72,15.25,15.32,15.33,0.64
[2026-05-14 05:33:33.364] ,462,25.14,30.48,99292.09,530295.19,1.87,2.48,2.9,3.11,11.89,14.31,14.82,14.89,14.91,0.64
[2026-05-14 05:33:38.379] ,461,25.23,30.41,99293,526613.5,1.82,2.42,2.83,3.04,11.61,13.98,14.47,14.55,14.56,0.64
[2026-05-14 05:33:43.392] ,460,25.21,30.28,99293.35,527835.06,1.77,2.34,2.74,2.94,11.24,13.53,14.02,14.09,14.1,0.65
[2026-05-14 05:33:48.409] ,460,25.15,30.25,99291.9,531948.06,1.85,2.45,2.87,3.08,11.76,14.16,14.67,14.74,14.75,0.65
[2026-05-14 05:33:53.416] ,461,25.18,30.21,99293.12,529883.56,1.99,2.63,3.08,3.31,12.65,15.23,15.77,15.84,15.86,0.64
[2026-05-14 05:33:58.431] ,461,25.22,30.23,99293.02,529062.25,1.99,2.63,3.07,3.29,12.71,15.28,15.81,15.89,15.9,0.63
[2026-05-14 05:34:03.451] ,461,25.28,30.22,99293.76,526207.62,1.77,2.33,2.71,2.9,11.29,13.56,14.02,14.09,14.1,0.63
[2026-05-14 05:34:08.463] ,463,25.3,30.21,99292.56,522182.56,1.56,2.05,2.39,2.56,10.01,12.01,12.42,12.48,12.49,0.63
[2026-05-14 05:34:13.481] ,463,25.38,30.18,99292.21,522982.62,1.59,2.09,2.42,2.59,10.21,12.24,12.65,12.71,12.72,0.63
[2026-05-14 05:34:18.491] ,463,25.38,30.11,99292.7,518218.62,1.68,2.19,2.54,2.72,10.77,12.91,13.33,13.39,13.4,0.63
[2026-05-14 05:34:23.511] ,466,25.31,30.08,99294.79,522182.56,1.79,2.33,2.7,2.89,11.5,13.77,14.22,14.28,14.29,0.62
[2026-05-14 05:34:28.518] ,466,25.33,30.08,99294.81,523383.59,1.85,2.41,2.78,2.97,11.9,14.23,14.69,14.76,14.77,0.63
[2026-05-14 05:34:33.530] ,467,25.34,30.06,99295.23,523785.16,1.82,2.36,2.72,2.91,11.68,13.97,14.42,14.48,14.49,0.62
[2026-05-14 05:34:38.545] ,467,25.18,30.14,99294.1,527835.06,1.75,2.27,2.61,2.79,11.26,13.45,13.88,13.94,13.95,0.62
