,co2,temp,humidity,pressure,gas_resistance,pm1_0,pm2_5,pm4_0,pm10_0,pnc_0_5,pnc_1_0,pnc_2_5,pnc_4_0,pnc_10_0,tps,
[2026-05-06 14:36:30.086] ,537,28.33,34.41,100554.52,36898.24,1.67,1.96,2.12,2.2,11.27,13.09,13.31,13.34,13.35,0.46,
[2026-05-06 14:36:35.100] ,530,28.26,33.96,100551.48,88306.31,1.49,1.73,1.86,1.93,10.07,11.67,11.85,11.88,11.88,0.46,
[2026-05-06 14:36:40.114] ,520,29.08,32.33,100552.34,106644.45,1.43,1.64,1.73,1.79,9.76,11.26,11.41,11.43,11.43,0.45,
[2026-05-06 14:36:45.121] ,521,29.46,31.01,100549.7,117836.59,1.49,1.69,1.78,1.83,10.2,11.74,11.88,11.9,11.91,0.45,
[2026-05-06 14:36:50.140] ,512,29.67,30.21,100550.28,127236.58,1.42,1.6,1.68,1.72,9.69,11.15,11.28,11.3,11.3,0.45,
[2026-05-06 14:36:55.155] ,504,29.78,29.61,100549.4,134453.78,1.26,1.42,1.49,1.53,8.63,9.92,10.03,10.05,10.05,0.45,
[2026-05-06 14:37:00.171] ,507,29.86,29.18,100549.28,141358.36,1.17,1.32,1.39,1.42,8.05,9.25,9.36,9.37,9.37,0.45,
[2026-05-06 14:37:05.177] ,506,29.87,28.7,100548.92,148750.72,1.2,1.27,1.27,1.27,8.45,9.58,9.61,9.61,9.62,0.44,
[2026-05-06 14:37:10.192] ,503,29.87,28.34,100546.91,154124.02,1.18,1.25,1.25,1.25,8.28,9.38,9.41,9.42,9.42,0.44,
[2026-05-06 14:37:15.205] ,500,29.87,28.18,100547.46,158415.84,1.05,1.17,1.22,1.25,7.25,8.31,8.39,8.4,8.41,0.44,
[2026-05-06 14:37:20.223] ,498,29.84,28.24,100549.14,162798.09,1.03,1.09,1.09,1.09,7.23,8.19,8.22,8.23,8.23,0.44,
[2026-05-06 14:37:25.232] ,496,29.8,28.38,100548.23,167923.91,1.07,1.13,1.13,1.13,7.51,8.51,8.54,8.54,8.54,0.43,
[2026-05-06 14:37:30.245] ,496,29.76,28.47,100548.94,172158.7,1.16,1.23,1.23,1.23,8.14,9.22,9.25,9.26,9.26,0.43,
[2026-05-06 14:37:35.254] ,495,29.73,28.51,100548.7,176430.05,1.36,1.44,1.44,1.44,9.58,10.86,10.89,10.9,10.9,0.43,
[2026-05-06 14:37:40.270] ,491,29.7,28.5,100549.61,180535.97,1.47,1.55,1.55,1.55,10.31,11.68,11.72,11.73,11.73,0.43,
[2026-05-06 14:37:45.283] ,487,29.64,28.49,100549.45,184040.27,1.51,1.6,1.6,1.6,10.61,12.03,12.07,12.08,12.08,0.43,
[2026-05-06 14:37:50.300] ,486,29.61,28.52,100548.88,191401.88,1.51,1.59,1.59,1.59,10.57,11.98,12.02,12.02,12.02,0.42,
[2026-05-06 14:37:55.308] ,485,29.58,28.56,100549.52,193792.58,1.46,1.54,1.54,1.54,10.24,11.61,11.65,11.65,11.66,0.42,
[2026-05-06 14:38:00.318] ,484,29.56,28.6,100548.55,195793.5,1.4,1.48,1.48,1.48,9.79,11.1,11.14,11.14,11.14,0.42,
[2026-05-06 14:38:05.335] ,483,29.57,28.64,100549.06,198180.77,1.35,1.43,1.43,1.43,9.49,10.76,10.8,10.8,10.8,0.42,
[2026-05-06 14:38:10.352] ,484,29.54,28.66,100548.11,201813.17,1.32,1.4,1.4,1.4,9.27,10.51,10.55,10.55,10.55,0.42,
[2026-05-06 14:38:15.365] ,483,29.51,28.7,100547.21,203619.02,1.32,1.4,1.4,1.4,9.27,10.51,10.55,10.55,10.55,0.42,
[2026-05-06 14:38:20.374] ,480,29.49,28.69,100546.91,205457.47,1.33,1.4,1.4,1.4,9.31,10.55,10.59,10.59,10.59,0.42,
