,co2,temp,humidity,pressure,gas_resistance,pm1_0,pm2_5,pm4_0,pm10_0,pnc_0_5,pnc_1_0,pnc_2_5,pnc_4_0,pnc_10_0,tps
[2026-05-14 07:21:22.411] ,443,25.55,33.22,99293.51,271042.88,2.1,2.71,3.1,3.31,13.58,16.19,16.69,16.76,16.77,0.61
[2026-05-14 07:21:27.420] ,472,25.3,33.02,99294.77,394985.53,2.18,2.79,3.2,3.42,14.07,16.77,17.28,17.36,17.37,0.62
[2026-05-14 07:21:32.438] ,462,26.08,31.54,99293.47,438356.16,2.13,2.74,3.13,3.34,13.8,16.44,16.94,17.01,17.02,0.62
[2026-05-14 07:21:37.455] ,470,26.43,30.34,99294.79,454404.25,2.08,2.66,3.04,3.24,13.45,16.02,16.5,16.57,16.58,0.62
[2026-05-14 07:21:42.461] ,473,26.49,29.57,99294.08,470696.41,2.14,2.74,3.13,3.33,13.87,16.5,16.99,17.06,17.07,0.61
[2026-05-14 07:21:47.471] ,464,26.58,29.13,99293.12,481995.75,2.14,2.73,3.12,3.32,13.89,16.53,17.01,17.08,17.09,0.61
[2026-05-14 07:21:52.488] ,464,26.74,28.93,99293.41,484046.31,2.16,2.76,3.15,3.35,14.06,16.72,17.2,17.27,17.28,0.6
[2026-05-14 07:21:57.501] ,466,26.69,28.58,99293.58,500000,1.97,2.5,2.85,3.03,12.8,15.21,15.65,15.71,15.72,0.6
[2026-05-14 07:22:02.514] ,467,26.68,28.35,99294.05,498175.62,1.89,2.4,2.73,2.9,12.28,14.59,15,15.06,15.07,0.61
[2026-05-14 07:22:07.521] ,469,26.72,28.21,99294.48,500000,1.8,2.29,2.6,2.77,11.7,13.9,14.3,14.36,14.37,0.61
[2026-05-14 07:22:12.541] ,472,26.62,28.1,99295.23,505928.84,1.71,2.18,2.48,2.64,11.12,13.21,13.59,13.64,13.65,0.61
[2026-05-14 07:22:17.553] ,473,26.49,28.04,99293.86,516649.84,1.77,2.25,2.57,2.73,11.49,13.66,14.06,14.11,14.12,0.61
[2026-05-14 07:22:22.558] ,470,26.62,28.12,99293.3,501837.78,1.85,2.36,2.69,2.86,12.02,14.29,14.71,14.76,14.77,0.61
[2026-05-14 07:22:27.575] ,470,26.7,28.14,99292.89,501101.06,1.88,2.39,2.73,2.91,12.21,14.51,14.94,15,15,0.61
[2026-05-14 07:22:32.581] ,470,26.87,28.22,99295.28,495643.75,1.98,2.53,2.89,3.08,12.87,15.31,15.76,15.82,15.83,0.62
[2026-05-14 07:22:37.597] ,471,26.94,28.1,99294.36,496364.53,2.09,2.68,3.06,3.25,13.58,16.16,16.64,16.7,16.72,0.61
[2026-05-14 07:22:42.611] ,469,26.87,27.94,99293.58,505180.06,2.18,2.79,3.19,3.39,14.14,16.83,17.33,17.4,17.41,0.61
[2026-05-14 07:22:47.621] ,468,26.78,27.84,99294.09,508946.31,2.28,2.92,3.34,3.55,14.78,17.6,18.12,18.2,18.21,0.61
[2026-05-14 07:22:52.640] ,468,26.69,27.85,99293.09,512384.28,2.56,3.29,3.76,4.01,16.56,19.73,20.33,20.42,20.43,0.62
[2026-05-14 07:22:57.650] ,468,26.71,27.87,99291.56,510468.59,2.63,3.39,3.89,4.16,17,20.28,20.91,21,21.01,0.62
[2026-05-14 07:23:02.665] ,470,26.64,27.93,99293.17,506679.88,2.46,3.17,3.65,3.9,15.84,18.91,19.5,19.59,19.6,0.62
[2026-05-14 07:23:07.671] ,469,26.6,28.01,99292.79,504433.5,2.33,3.02,3.48,3.72,15.03,17.96,18.53,18.61,18.62,0.63
[2026-05-14 07:23:12.688] ,469,26.63,28.11,99293.91,500733.5,2.21,2.88,3.32,3.55,14.23,17.02,17.57,17.65,17.66,0.63
[2026-05-14 07:23:17.701] ,470,26.66,28.18,99293.57,502946.97,2.11,2.75,3.18,3.4,13.57,16.24,16.77,16.85,16.86,0.63
[2026-05-14 07:23:22.717] ,469,26.69,28.2,99294.84,502206.97,1.97,2.57,2.97,3.18,12.65,15.14,15.63,15.71,15.72,0.63
[2026-05-14 07:23:27.723] ,470,26.73,28.19,99292.7,506304.09,1.88,2.46,2.84,3.05,12.1,14.49,14.96,15.03,15.04,0.63
[2026-05-14 07:23:32.741] ,471,26.67,28.1,99294.28,504433.5,1.82,2.38,2.76,2.96,11.69,14.01,14.47,14.54,14.55,0.63
[2026-05-14 07:23:37.756] ,469,26.61,28.12,99294.25,502576.69,1.82,2.38,2.76,2.96,11.64,13.96,14.42,14.49,14.5,0.63
[2026-05-14 07:23:42.770] ,470,26.66,28.18,99294.11,504806.5,1.75,2.29,2.65,2.84,11.19,13.41,13.86,13.92,13.93,0.62
