,co2,temp,humidity,pressure,gas_resistance,pm1_0,pm2_5,pm4_0,pm10_0,pnc_0_5,pnc_1_0,pnc_2_5,pnc_4_0,pnc_10_0,tps
[2026-05-06 21:07:09.409] ,478,29.39,34.27,100618.23,89136.49,4.4,4.72,4.78,4.81,30.73,34.94,35.13,35.15,35.15,0.5
[2026-05-06 21:07:14.419] ,484,29.09,33.49,100616.17,194123.22,4.34,4.66,4.72,4.75,30.27,34.42,34.61,34.63,34.63,0.5
[2026-05-06 21:07:19.426] ,502,29.89,31.58,100613.64,217225.28,4.23,4.55,4.6,4.63,29.52,33.58,33.77,33.78,33.79,0.5
[2026-05-06 21:07:24.446] ,506,30.28,30.54,100616.52,217225.28,4.15,4.46,4.52,4.55,28.96,32.95,33.13,33.14,33.15,0.51
[2026-05-06 21:07:29.458] ,510,30.48,29.98,100616.49,223923.03,4.17,4.48,4.54,4.58,29.07,33.08,33.26,33.28,33.29,0.51
[2026-05-06 21:07:34.474] ,508,30.59,29.39,100617.48,224364.59,4.01,4.32,4.38,4.41,27.98,31.84,32.02,32.03,32.04,0.5
[2026-05-06 21:07:39.488] ,509,30.68,29.19,100617.39,220452.09,3.95,4.25,4.31,4.34,27.54,31.34,31.51,31.53,31.53,0.5
[2026-05-06 21:07:44.499] ,508,30.75,29.11,100617.95,222174,4.01,4.31,4.37,4.4,28,31.85,32.03,32.04,32.05,0.49
[2026-05-06 21:07:49.518] ,511,30.79,29.08,100614.7,219884.05,3.92,4.21,4.26,4.29,27.35,31.1,31.27,31.29,31.29,0.49
[2026-05-06 21:07:54.526] ,511,30.81,29.31,100615.05,219742.48,3.79,4.06,4.11,4.14,26.42,30.04,30.21,30.22,30.22,0.49
[2026-05-06 21:07:59.544] ,514,30.83,29.16,100614.64,221166.31,3.66,3.93,3.97,4,25.57,29.07,29.23,29.24,29.25,0.49
[2026-05-06 21:08:04.550] ,515,30.85,29.25,100615.11,218197.31,3.65,3.91,3.95,3.98,25.47,28.96,29.11,29.12,29.13,0.49
[2026-05-06 21:08:09.570] ,516,30.89,29.29,100615.88,218197.31,3.9,4.18,4.23,4.25,27.26,30.99,31.15,31.16,31.16,0.49
