timestamp,co2,temp,humidity,pressure,gas_resistance,pm1_0,pm2_5,pm4_0,pm10_0,pnc_0_5,pnc_1_0,pnc_2_5,pnc_4_0,pnc_10_0,tps,label
2026-05-11 07:55:15,455,26.97,33.08,100213.01,140427.86,0.72,1.18,1.54,1.72,4.01,5.26,5.66,5.72,5.73,0.76,normal
2026-05-11 07:55:20,455,27.03,32.68,100216.7,146957.52,0.71,1.16,1.5,1.67,4,5.22,5.6,5.66,5.67,0.75,normal
2026-05-11 07:55:25,451,27.11,32.34,100217.97,152608.05,0.66,1.07,1.38,1.54,3.76,4.88,5.24,5.29,5.3,0.75,normal
2026-05-11 07:55:30,450,27.17,32.33,100213.01,158563.02,0.59,0.95,1.23,1.37,3.32,4.32,4.64,4.68,4.69,0.75,normal
2026-05-11 07:55:35,451,27.22,32.36,100212.88,164683.17,0.56,0.88,1.12,1.25,3.21,4.12,4.41,4.45,4.45,0.73,normal
2026-05-11 07:55:40,451,27.26,32.32,100212.95,169088.5,0.6,0.99,1.27,1.43,3.39,4.42,4.75,4.8,4.81,0.75,normal
2026-05-11 07:55:45,451,27.31,32.28,100213.24,175342.47,0.57,0.94,1.21,1.36,3.23,4.21,4.52,4.57,4.58,0.75,normal
2026-05-11 07:55:50,451,27.34,32.01,100214.03,179586.11,0.49,0.79,1.02,1.14,2.75,3.57,3.83,3.87,3.88,0.74,normal
2026-05-11 07:55:55,454,27.39,31.77,100213.55,186249.55,0.46,0.74,0.95,1.06,2.59,3.36,3.6,3.64,3.64,0.74,normal
2026-05-11 07:56:00,455,27.43,31.68,100216.88,194012.89,0.52,0.85,1.1,1.23,2.91,3.8,4.09,4.13,4.14,0.75,normal
2026-05-11 07:56:05,454,27.45,31.44,100216.35,199454.61,0.64,1.04,1.35,1.51,3.6,4.69,5.04,5.1,5.1,0.74,normal
2026-05-11 07:56:10,455,27.48,31.28,100213.56,204106.05,0.75,1.2,1.54,1.72,4.29,5.54,5.93,5.99,6,0.74,normal
2026-05-11 07:56:15,454,27.5,31.13,100212.19,208724.02,0.72,1.16,1.48,1.65,4.15,5.35,5.72,5.78,5.79,0.75,normal
2026-05-11 07:56:20,455,27.52,31.04,100210.52,212624.58,0.67,1.07,1.36,1.52,3.84,4.94,5.29,5.34,5.34,0.75,normal
2026-05-11 07:56:25,455,27.54,30.94,100212.37,216673.72,0.59,0.94,1.21,1.34,3.37,4.35,4.65,4.7,4.71,0.75,normal
2026-05-11 07:56:30,456,27.55,30.87,100212.69,218756.67,0.56,0.9,1.15,1.27,3.23,4.16,4.45,4.49,4.49,0.75,normal
2026-05-11 07:56:35,454,27.59,30.92,100214.33,222899.44,0.53,0.86,1.1,1.22,3.05,3.94,4.22,4.26,4.27,0.76,normal
2026-05-11 07:56:40,456,27.59,30.87,100216.16,227505,0.49,0.78,1,1.11,2.79,3.6,3.85,3.89,3.9,0.76,normal
2026-05-11 07:56:45,453,27.59,30.9,100216.62,229339.31,0.44,0.71,0.91,1.01,2.54,3.28,3.51,3.55,3.55,0.76,normal
2026-05-11 07:56:50,454,27.62,30.91,100215.84,232939.03,0.41,0.66,0.84,0.93,2.37,3.05,3.26,3.29,3.3,0.76,normal
2026-05-11 07:56:55,454,27.61,30.64,100214.88,238305.8,0.4,0.64,0.82,0.91,2.29,2.96,3.17,3.2,3.2,0.76,normal
2026-05-11 07:57:00,455,27.63,30.52,100214.02,241338.67,0.47,0.76,0.98,1.09,2.68,3.47,3.72,3.76,3.77,0.76,normal
2026-05-11 07:57:05,456,27.64,30.42,100210.66,244624.94,0.51,0.82,1.05,1.17,2.92,3.78,4.04,4.08,4.09,0.76,normal
2026-05-11 07:57:10,456,27.64,30.35,100206.6,246925.48,0.52,0.84,1.07,1.2,3,3.87,4.14,4.18,4.19,0.76,normal
2026-05-11 07:57:16,456,27.67,30.37,100208.68,249634.33,0.62,1,1.29,1.44,3.5,4.55,4.88,4.93,4.94,0.77,normal
2026-05-11 07:57:21,459,27.7,30.44,100210.57,249269.72,0.76,1.21,1.55,1.73,4.32,5.58,5.97,6.03,6.04,0.77,normal
2026-05-11 07:57:26,461,27.72,30.61,100209.16,251288.34,0.78,1.26,1.61,1.8,4.44,5.75,6.16,6.22,6.23,0.77,normal
2026-05-11 07:57:31,463,27.75,30.58,100207.14,254283.58,0.71,1.14,1.46,1.62,4.04,5.23,5.6,5.65,5.66,0.77,normal
2026-05-11 07:57:36,463,27.77,30.58,100210.45,256963.61,0.66,1.06,1.36,1.52,3.75,4.85,5.2,5.25,5.26,0.77,normal
2026-05-11 07:57:41,462,27.78,30.57,100210.62,259306.16,0.62,1.01,1.29,1.44,3.53,4.58,4.91,4.96,4.97,0.78,normal
2026-05-11 07:57:46,461,27.81,30.48,100212.43,262496.78,0.57,0.91,1.17,1.3,3.22,4.17,4.47,4.51,4.52,0.77,normal
2026-05-11 07:57:51,463,27.83,30.33,100211.14,264941.78,0.51,0.8,1.03,1.14,2.9,3.73,3.99,4.03,4.04,0.76,normal
2026-05-11 07:57:56,464,27.84,30.27,100211.81,266805.62,0.57,0.9,1.15,1.28,3.26,4.19,4.48,4.52,4.53,0.76,normal
2026-05-11 07:58:01,461,27.84,30.23,100209.98,266805.62,0.59,0.93,1.18,1.31,3.38,4.34,4.64,4.68,4.69,0.76,normal
2026-05-11 07:58:06,462,27.86,30.27,100211.14,269971,0.51,0.81,1.03,1.14,2.94,3.77,4.03,4.07,4.07,0.76,normal
2026-05-11 07:58:11,461,27.87,30.26,100210.32,271258.28,0.41,0.66,0.84,0.93,2.38,3.07,3.28,3.31,3.31,0.76,normal
2026-05-11 07:58:16,459,27.9,30.26,100212.27,272557.91,0.32,0.51,0.65,0.72,1.83,2.36,2.52,2.54,2.55,0.76,normal
2026-05-11 07:58:21,458,27.9,30.33,100211.64,273212.38,0.3,0.48,0.61,0.68,1.73,2.23,2.39,2.41,2.41,0.77,normal
2026-05-11 07:58:26,455,27.9,30.46,100211.68,271690.09,0.34,0.54,0.68,0.76,1.96,2.52,2.69,2.71,2.72,0.76,normal
2026-05-11 07:58:31,456,27.89,30.6,100213.15,274310.22,0.42,0.66,0.83,0.93,2.42,3.1,3.31,3.34,3.34,0.76,normal
2026-05-11 07:58:36,457,27.9,30.69,100213.46,275639.31,0.46,0.72,0.91,1.01,2.64,3.38,3.61,3.64,3.65,0.76,normal
2026-05-11 07:58:41,458,27.9,30.7,100212.42,279247.34,0.46,0.71,0.9,0.99,2.65,3.38,3.6,3.63,3.63,0.75,normal
2026-05-11 07:58:46,460,27.92,30.63,100212.1,280624.84,0.47,0.74,0.93,1.04,2.7,3.46,3.69,3.73,3.73,0.76,normal
2026-05-11 07:58:51,459,27.91,30.51,100211.88,283185.84,0.54,0.84,1.07,1.18,3.16,4.03,4.29,4.33,4.34,0.75,normal
2026-05-11 07:58:56,461,27.91,30.39,100210.6,283420.97,0.59,0.91,1.14,1.26,3.45,4.38,4.65,4.69,4.7,0.75,normal
2026-05-11 07:59:01,462,27.92,30.31,100212.84,286995.53,0.62,0.96,1.21,1.34,3.65,4.64,4.93,4.97,4.98,0.75,normal
2026-05-11 07:59:06,461,27.9,30.16,100213.41,288939.06,0.71,1.09,1.37,1.52,4.16,5.29,5.62,5.66,5.67,0.75,normal
2026-05-11 07:59:11,463,27.89,30.18,100215.42,290167.19,0.76,1.16,1.45,1.61,4.47,5.66,6,6.05,6.06,0.74,normal
2026-05-11 07:59:16,461,27.88,30.29,100215.94,290661.38,0.74,1.13,1.42,1.57,4.37,5.53,5.87,5.92,5.92,0.74,normal
2026-05-11 07:59:21,461,27.87,30.39,100215.11,291405.81,0.68,1.03,1.29,1.43,3.98,5.04,5.34,5.39,5.39,0.75,normal
2026-05-11 07:59:26,463,27.89,30.27,100215.45,295185.94,0.64,0.97,1.22,1.34,3.8,4.8,5.08,5.12,5.13,0.74,normal
2026-05-11 07:59:31,464,27.88,30.03,100216.45,295953.75,0.56,0.85,1.06,1.17,3.31,4.18,4.43,4.46,4.47,0.74,normal
2026-05-11 07:59:36,461,27.88,29.87,100214.92,300910.97,0.5,0.76,0.96,1.06,2.96,3.74,3.97,4,4,0.74,normal
2026-05-11 07:59:41,460,27.88,29.78,100214.34,298542.28,0.44,0.67,0.83,0.92,2.59,3.27,3.47,3.5,3.5,0.74,normal
2026-05-11 07:59:46,459,27.92,29.83,100215.37,300910.97,0.44,0.66,0.83,0.92,2.57,3.25,3.44,3.47,3.48,0.74,normal
2026-05-11 07:59:51,460,27.91,29.94,100214.93,298542.28,0.45,0.67,0.84,0.93,2.65,3.34,3.54,3.57,3.57,0.74,normal
2026-05-11 07:59:56,458,27.93,30.17,100215.59,296725.59,0.46,0.7,0.87,0.96,2.73,3.44,3.65,3.68,3.68,0.74,normal
2026-05-11 08:00:01,460,27.95,30.26,100214.85,298542.28,0.55,0.83,1.04,1.15,3.22,4.08,4.32,4.36,4.37,0.74,normal
2026-05-11 08:00:06,461,27.96,30.11,100214.91,302243.22,0.58,0.87,1.09,1.2,3.4,4.3,4.55,4.59,4.59,0.74,normal
2026-05-11 08:00:11,461,27.96,30.03,100214.67,301975.81,0.61,0.93,1.16,1.28,3.59,4.53,4.81,4.85,4.86,0.74,normal
2026-05-11 08:00:16,463,27.96,30.1,100216.74,302243.22,0.62,0.94,1.18,1.3,3.68,4.64,4.92,4.96,4.96,0.74,normal
2026-05-11 08:00:21,462,27.96,30.01,100214.83,304399.53,0.58,0.87,1.09,1.2,3.41,4.3,4.56,4.6,4.6,0.74,normal
2026-05-11 08:00:26,460,27.96,30.05,100214.86,304399.53,0.58,0.88,1.09,1.21,3.45,4.34,4.59,4.63,4.64,0.73,normal
2026-05-11 08:00:31,463,27.97,29.88,100214.38,306586.81,0.64,0.98,1.23,1.36,3.78,4.78,5.07,5.12,5.12,0.74,normal
2026-05-11 08:00:36,464,27.96,29.97,100216.7,304399.53,0.71,1.08,1.35,1.5,4.19,5.3,5.62,5.67,5.67,0.74,normal
2026-05-11 08:00:41,465,27.96,30.12,100216.35,304943.41,0.75,1.15,1.43,1.58,4.46,5.63,5.96,6.01,6.02,0.74,normal
2026-05-11 08:00:46,466,27.95,30.23,100216.98,305489.25,0.76,1.16,1.45,1.6,4.5,5.69,6.03,6.08,6.08,0.74,normal
2026-05-11 08:00:51,466,27.97,30.3,100220.19,306862.44,0.8,1.22,1.52,1.68,4.76,6.01,6.36,6.42,6.43,0.74,normal
2026-05-11 08:00:56,468,27.96,30.06,100218.23,312195.12,0.78,1.17,1.46,1.61,4.6,5.8,6.14,6.19,6.19,0.74,normal
2026-05-11 08:01:01,468,27.96,29.82,100216.5,313054.12,0.71,1.06,1.32,1.46,4.2,5.28,5.58,5.63,5.63,0.73,normal
2026-05-11 08:01:06,466,27.94,29.68,100216.77,314206.81,0.57,0.86,1.07,1.18,3.41,4.29,4.54,4.58,4.58,0.73,normal
2026-05-11 08:01:11,465,27.94,29.72,100217.28,315076.94,0.6,0.9,1.12,1.24,3.57,4.49,4.75,4.79,4.8,0.73,normal
2026-05-11 08:01:16,465,27.95,29.78,100216.03,313054.12,0.59,0.88,1.1,1.21,3.49,4.39,4.64,4.68,4.68,0.73,normal
2026-05-11 08:01:21,465,27.96,29.97,100216.25,311625.06,0.52,0.79,0.98,1.08,3.12,3.93,4.15,4.19,4.19,0.73,normal
2026-05-11 08:01:26,465,27.94,30.16,100216.09,311909.84,0.56,0.85,1.06,1.16,3.33,4.2,4.44,4.48,4.48,0.74,normal
2026-05-11 08:01:31,467,27.96,30.21,100216.41,313629.41,0.52,0.79,0.98,1.08,3.1,3.9,4.13,4.16,4.17,0.74,normal
2026-05-11 08:01:36,469,27.96,30.1,100214.99,316537.88,0.48,0.73,0.91,1,2.88,3.62,3.83,3.86,3.87,0.74,normal
2026-05-11 08:01:41,471,27.95,29.93,100214.12,318308.97,0.42,0.63,0.79,0.87,2.51,3.16,3.34,3.37,3.37,0.74,normal
2026-05-11 08:01:46,471,27.94,29.76,100215.09,320400.5,0.44,0.65,0.81,0.89,2.62,3.28,3.47,3.49,3.5,0.73,normal
2026-05-11 08:01:51,472,27.96,29.72,100215.37,318903.78,0.5,0.74,0.92,1.01,3,3.76,3.96,4,4,0.73,normal
2026-05-11 08:01:56,472,27.97,29.81,100217.01,318308.97,0.5,0.74,0.92,1.01,2.97,3.73,3.93,3.97,3.97,0.73,normal
2026-05-11 08:02:01,472,27.97,29.79,100217.33,321305.31,0.46,0.68,0.84,0.93,2.74,3.43,3.63,3.65,3.66,0.73,normal
2026-05-11 08:02:06,471,27.96,29.63,100217.6,323743.28,0.45,0.66,0.82,0.9,2.66,3.34,3.52,3.55,3.56,0.73,normal
2026-05-11 08:02:11,474,27.93,29.54,100217.66,324358.56,0.43,0.64,0.79,0.87,2.56,3.21,3.39,3.41,3.42,0.73,normal
2026-05-11 08:02:16,473,27.91,29.42,100218.88,325285.91,0.45,0.67,0.83,0.92,2.71,3.39,3.58,3.61,3.61,0.73,normal
2026-05-11 08:02:21,472,27.92,29.39,100218.48,324358.56,0.48,0.71,0.87,0.96,2.87,3.58,3.78,3.81,3.81,0.72,normal
2026-05-11 08:02:26,470,27.93,29.54,100219.33,321911.34,0.52,0.76,0.94,1.04,3.11,3.88,4.09,4.13,4.13,0.72,normal
2026-05-11 08:02:31,469,27.93,29.68,100218.98,320100.03,0.53,0.78,0.97,1.06,3.2,3.99,4.21,4.24,4.24,0.72,normal
2026-05-11 08:02:36,469,27.94,29.93,100219.09,319800.12,0.5,0.73,0.9,0.99,3,3.74,3.94,3.97,3.97,0.72,normal
2026-05-11 08:02:41,469,27.94,29.8,100219.76,326218.53,0.54,0.78,0.96,1.06,3.24,4.04,4.25,4.28,4.28,0.71,normal
2026-05-11 08:02:46,470,27.93,29.61,100217.94,326218.53,0.6,0.88,1.08,1.19,3.6,4.49,4.73,4.77,4.77,0.72,normal
2026-05-11 08:02:51,469,27.96,29.59,100216.05,324050.62,0.71,1.04,1.28,1.41,4.28,5.34,5.62,5.66,5.67,0.72,normal
2026-05-11 08:02:56,468,27.98,29.69,100216.8,323743.28,0.79,1.16,1.42,1.56,4.75,5.92,6.23,6.28,6.29,0.72,normal
